loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,previous_defaults,credit_utilization_ratio,monthly_emi
1,2,Graduate,No,9600000,29900000,12,778,2400000,17600000,22700000,8000000,Approved,0,0.4262,131813.47
2,0,Not Graduate,Yes,4100000,12200000,8,417,2700000,2200000,8800000,3300000,Rejected,3,0.7393,105007.94
3,3,Graduate,No,9100000,29700000,20,506,7100000,4500000,33300000,12800000,Rejected,1,0.9227,155494.92
4,3,Graduate,No,8200000,30700000,8,467,18200000,3300000,23300000,7900000,Rejected,1,0.4409,161244.28
5,5,Not Graduate,Yes,9800000,24200000,20,382,12400000,8200000,29400000,5000000,Rejected,0,0.6364,229884.65
6,0,Graduate,Yes,4800000,13500000,10,319,6800000,8300000,13700000,5100000,Rejected,0,0.7111,92281.78
7,5,Graduate,No,8700000,33000000,4,678,22500000,14800000,29200000,4300000,Approved,0,0.2827,101006.42
8,2,Graduate,Yes,5700000,15000000,20,382,13200000,5700000,11800000,6000000,Rejected,2,0.5909,85391.55
9,0,Graduate,Yes,800000,2200000,20,782,1300000,800000,2800000,600000,Approved,0,0.1852,18737.73
10,5,Not Graduate,No,1100000,4300000,10,388,3200000,1400000,3300000,1600000,Rejected,1,0.4261,11987.95
11,4,Graduate,Yes,2900000,11200000,2,547,8100000,4700000,9500000,3100000,Approved,0,0.2067,32828.61
12,2,Not Graduate,Yes,6700000,22700000,18,538,15300000,5800000,20400000,6400000,Rejected,3,0.4476,18699.44
13,3,Not Graduate,Yes,5000000,11600000,16,311,6400000,9600000,14600000,4300000,Rejected,2,0.7906,133376.9
14,2,Graduate,Yes,9100000,31500000,14,679,10800000,16600000,20900000,5000000,Approved,0,0.1335,24162.56
15,1,Not Graduate,No,1900000,7400000,6,469,1900000,1200000,5900000,1900000,Approved,0,0.3851,35921.59
16,5,Not Graduate,No,4700000,10700000,10,794,5700000,3900000,16400000,4400000,Approved,0,0.2709,56642.08
17,2,Graduate,Yes,500000,1600000,4,663,1300000,100000,1300000,700000,Approved,0,0.2881,5915.28
18,4,Not Graduate,Yes,2900000,9400000,14,780,2900000,2800000,6700000,4300000,Approved,0,0.3988,57478.76
19,2,Graduate,No,2700000,10300000,10,736,1000000,0,6200000,3300000,Approved,0,0.2808,5283.63
20,5,Graduate,No,6300000,14600000,12,652,10300000,3500000,23500000,5900000,Rejected,0,0.1882,109093.44
21,2,Graduate,No,5000000,19400000,12,315,9500000,1600000,18000000,6100000,Rejected,1,0.8318,112587.97
22,4,Graduate,No,5800000,14000000,16,530,3800000,11300000,22200000,5400000,Rejected,0,0.6742,140105.99
23,4,Graduate,Yes,6500000,25700000,18,311,13100000,1700000,19500000,8500000,Rejected,0,0.3976,32329.72
24,0,Not Graduate,Yes,500000,1400000,2,551,900000,600000,1100000,300000,Rejected,0,0.2763,13087.36
25,0,Not Graduate,No,4900000,9800000,16,324,3800000,8700000,10000000,3300000,Rejected,1,0.8948,93774.21
26,5,Not Graduate,No,3100000,9500000,20,514,7900000,3100000,6600000,2600000,Rejected,2,0.5878,79734.37
27,4,Graduate,No,8200000,28100000,12,696,11500000,10600000,25300000,7200000,Approved,0,0.1685,116062.97
28,4,Not Graduate,Yes,2400000,5600000,4,662,4500000,4200000,5400000,2500000,Approved,0,0.1074,37942.33
29,5,Not Graduate,Yes,7000000,24000000,6,336,2300000,11900000,27500000,9700000,Rejected,1,0.4409,187636.98
30,3,Not Graduate,Yes,9000000,31500000,10,850,21800000,12400000,33700000,8000000,Approved,0,0.2231,236226.26
31,2,Not Graduate,No,9800000,25300000,12,313,20200000,5200000,25500000,9300000,Rejected,1,0.7074,128099.32
32,2,Graduate,No,5700000,12000000,6,363,3600000,7400000,21700000,4300000,Rejected,0,0.3984,45621.1
33,1,Not Graduate,Yes,800000,1600000,10,436,700000,200000,2200000,1000000,Rejected,0,0.9137,9173.98
34,5,Not Graduate,Yes,8400000,22000000,2,830,3800000,3900000,19900000,5400000,Approved,0,0.3521,95002.26
35,3,Graduate,No,4900000,11900000,8,612,9700000,1200000,19000000,5800000,Approved,0,0.2846,40998.06
36,2,Graduate,Yes,1700000,3400000,8,691,2700000,2800000,6000000,900000,Approved,0,0.3814,13317.07
37,3,Not Graduate,No,1600000,6200000,18,636,3400000,700000,5300000,1400000,Approved,0,0.0821,40182.94
